,seed_id
s_1444[v],C00750
s_1445[er],C00836
s_1446[er],C01120
s_1447[c],C00751
s_1448[er],C00751
s_1449[c],C01530
s_1450[e],C01530
s_1451[p],C01530
s_1454[c],C00412
s_1457[p],C00412
s_1458[c],C00042
s_1459[e],C00042
s_1460[m],C00042
s_1461[c],C00232
s_1464[m],C00091
s_1466[e],C00089
s_1467[c],C00059
s_1468[e],C00059
s_1469[c],C11481
s_1470[e],C11481
s_1471[c],C00245
s_1472[e],C00245
s_1473[c],C05122
s_1474[v],C05122
s_1475[c],C00068
s_1476[e],C00068
s_1477[m],C00068
s_1479[c],C16529
s_1480[er],C16529
s_1482[p],C16529
s_1483[lp],CHEBI:53039
s_1486[c],C04144
s_1487[c],C00101
s_1488[m],C00101
s_1489[c],C00378
s_1490[e],C00378
s_1491[c],C02992
s_1492[m],C02992
s_1493[c],C00214
s_1494[e],C00214
s_1497[c],C01081
s_1498[e],C01081
s_1503[c],C02341
s_1504[m],C02341
s_1507[p],C05275
s_1510[p],C03221
s_1513[p],CHEBI:52975
s_1516[p],C16218
s_1519[p],C05273
s_1520[c],C01083
s_1521[e],C01083
s_1522[v],C01083
s_1523[lp],CHEBI:53040
s_1524[c],C00422
s_1526[c],C00986
s_1527[c],C03512
s_1528[m],C03512
s_1529[c],C00955
s_1530[e],C00955
s_1531[m],C00955
s_1532[c],C03028
s_1533[c],C02839
s_1534[m],C02839
s_1535[m],C00390
s_1537[m],C17568
s_1538[c],C00015
